,cumulo,nomenclatura_nodo,integridad_nodo,ecosistema,municipio,estado,coord_longitud,coord_latitud,fecha_foto,numero_individuos,etiqueta,anotador_id,ruta
0,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.935,31.1922,2021-08-04T15:20:37Z,1.0,Homo sapiens,6,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/304365a8cbcac0aa9a02733472d1385b_0031.JPG
1,95,1_95_1_1350,Integro,Bosques templados,Municipio de Agua Prieta,Sonora,-108.935,31.1922,2021-08-04T15:20:39Z,1.0,Homo sapiens,6,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/a1c57200f72b9d431d062efec1cc9d78_0032.JPG
2,95,1_95_0_1348,Degradado,Bosques templados,Municipio de Agua Prieta,Sonora,-108.952,31.254,2021-10-12T10:08:42Z,1.0,Equus caballus,6,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/b5e5b7a002263f7741c6ec2b41b804fc_0994.JPG
3,13,3_13_0_1399,Degradado,Selvas humedas,Palizada,Campeche,-91.9802,18.0886,2021-08-05T17:30:48Z,1.0,Aves,6,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/a1b882d87811ce1d490d1334c34b64aa_0013.JPG
4,13,3_13_0_1399,Degradado,Selvas humedas,Palizada,Campeche,-91.9802,18.0886,2021-08-05T17:30:49Z,1.0,Aves,6,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/1b16b2286f3b1f31a48c7784782ee3b4_0014.JPG
5,32,4_32_1_1286,Integro,Selvas secas,Tlaquiltenango,Morelos,-99.0321,18.4075,2022-08-15T10:22:16Z,1.0,Bos taurus,6,32/4_32_1_1286/HLPXGM09049539/2022-08-05/images_videos/b5e7a25d20e33f58b4f38a6161535c07_0352.JPG
6,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:16:16Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/76f4f49abcce66a72c2b945e522c7735_0032.JPG
7,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:16:34Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/83b9fea9bd1c878a63987b9319c8d16a_0034.JPG
8,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:16:35Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/90cfc818a0efeab1bb2669f3af1d3b32_0035.JPG
9,92,3_92_0_1339,Degradado,Selvas humedas,Marqués de Comillas,Chiapas,-90.8071,16.1478,2021-07-08T06:16:49Z,1.0,Dicotyles tajacu,44,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/d597ce8ea182c69f6579a46001036047_0037.JPG
