horario,taxa_id,numero_individuos,ftrampa_id,subcoleccion,etiqueta_str,comportamiento,clase,especie,etiqueta,tipo_anotacion,coleccion,genero,rect_y,subespecie,subespecie_str,probabilidad_modelo,id,orden,rect_height,rect_x,rect_width,especie_str,modelo_id,reino,edad,phylum,nivel_anotador,fecha_anotacion,certeza,observaciones,ultima_modificacion,marcas,sexo,familia,calidad,anotador_id
"",500002,1,d87149ab-0dd1-486f-91ea-d4160bef5965,,Homo sapiens,,Mammalia,Homo sapiens,Homo sapiens,especimen,sipecam,Homo,0.020833333333333332,,,,96ef7a7a-a99e-b65d-0673-0195daced041,Primates,0.9430555555555555,0.0,0.39892578125,Homo sapiens,,Animalia,,Chordata,usuario,2023-03-27T13:31:31Z,alta,,2023-03-27T13:31:31Z,,,Hominidae,,6
"",500002,1,ee4bfe4c-dac6-44dd-a6c5-91f64400be96,,Homo sapiens,,Mammalia,Homo sapiens,Homo sapiens,especimen,sipecam,Homo,0.01875,,,,83076d3b-ae35-49dd-1597-0b0622d4d64d,Primates,0.9451388888888889,0.0,0.5751953125,Homo sapiens,,Animalia,,Chordata,usuario,2023-03-27T13:33:37Z,alta,,2023-03-27T13:33:37Z,,,Hominidae,,6
"",37091,1,381cfcb7-1c60-4722-b4c7-ee32728bca62,,Equus caballus,,Mammalia,Equus caballus,Equus caballus,especimen,sipecam,Equus,0.021527777777777778,,,,6a4dfe92-0b92-df21-fff5-5fb2d5597f98,Perissodactyla,0.7715277777777777,0.0,0.28955078125,Equus caballus,,Animalia,,Chordata,usuario,2023-03-28T13:02:36Z,alta,,2023-03-28T13:02:36Z,,,Equidae,,6
"",22655,1,99f57c93-2e95-4998-8ea6-a7572d5e1db9,,Aves,,Aves,,Aves,especimen,sipecam,,0.8729166666666667,,,,d4eaf379-2b61-905c-95b9-11887b4957a2,,0.10416666666666663,0.83349609375,0.16650390625,,,Animalia,,Chordata,usuario,2023-03-30T21:53:31Z,alta,,2023-03-30T21:53:31Z,,,,,6
"",22655,1,9bc8944c-da34-49d3-b631-c718db4c254b,,Aves,,Aves,,Aves,especimen,sipecam,,0.8611111111111112,,,,73b13ac8-a5c5-65dd-dc97-3204426db780,,0.11666666666666659,0.595703125,0.404296875,,,Animalia,,Chordata,usuario,2023-03-30T21:53:49Z,alta,,2023-03-30T21:53:49Z,,,,,6
"",37140,1,9511f52d-11f9-4070-8d42-970511cc9872,,Bos taurus,,Mammalia,Bos taurus,Bos taurus,especimen,sipecam,Bos,0.5902777777777778,,,,f85487a6-766b-8cca-e462-7777dc9d9429,Artiodactyla,0.3784722222222222,0.46923828125,0.47802734375,Bos taurus,,Animalia,adulto,Chordata,usuario,2023-04-01T03:44:50Z,alta,,2023-04-01T03:44:50Z,,,Bovidae,,6
"",34731,1,9b9c8c16-3525-445e-b7c5-9e26d0a67a83,,Dicotyles tajacu,moviendose,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.625,,,,32ccd704-1534-c711-1035-150b13c4e6ee,Artiodactyla,0.35138888888888886,0.296875,0.50048828125,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-21T23:50:54Z,alta,,2023-04-21T23:50:54Z,,,Tayassuidae,,44
"",34731,1,c971795d-a28f-46ab-aee1-0576361d8b8c,,Dicotyles tajacu,parado,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5472222222222223,,,,0d2be89f-0b7b-d5f0-d01c-be0ab835592d,Artiodactyla,0.429861111111111,0.0,0.6484375,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-21T23:53:07Z,alta,,2023-04-21T23:53:07Z,,,Tayassuidae,,44
"",34731,1,5daf524a-ab54-4a07-b26f-bd66cd8dac8f,,Dicotyles tajacu,parado,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5659722222222222,,,,b193bcbd-7719-4fc2-4b8f-3b4ab917847a,Artiodactyla,0.4111111111111111,0.0,0.65283203125,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-22T00:02:35Z,alta,,2023-04-22T00:02:35Z,,,Tayassuidae,,44
"",34731,1,26842cee-9247-400e-a801-ee28c146c3f0,,Dicotyles tajacu,parado,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5125,,,,f417c1c4-9314-0913-1eef-940b6e93f3f7,Artiodactyla,0.288888888888889,0.0,0.1484375,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-22T00:03:09Z,alta,,2023-04-22T00:03:09Z,,,Tayassuidae,,44
"",22653,1,d4d6bc95-e735-47d6-9394-890450eb3240,,Mammalia,interactuando,Mammalia,,Mammalia,especimen,sipecam,,0.6881944444444444,,,,fe70d8db-755b-cda0-81bb-946151c9f7b4,,0.28888888888888886,0.00537109375,0.55859375,,,Animalia,,Chordata,usuario,2023-04-22T02:20:41Z,alta,,2023-04-22T02:20:41Z,,,,,6
"",33499,1,bbfa4e2b-b142-4d45-aa54-3303da3a3430,,Ursus americanus,parado,Mammalia,Ursus americanus,Ursus americanus,especimen,sipecam,Ursus,0.021527777777777778,,,,50b4b1b3-1ed8-e4aa-a542-35070a611842,Carnivora,0.9555555555555555,0.0,0.57861328125,Ursus americanus,,Animalia,adulto,Chordata,usuario,2023-04-24T21:11:27Z,alta,,2023-04-24T21:11:27Z,,,Ursidae,,44
"",33499,1,a72ac9c9-8c80-4dea-bc19-f538f1a68719,,Ursus americanus,alimentandose,Mammalia,Ursus americanus,Ursus americanus,especimen,sipecam,Ursus,0.46111111111111114,,,,f53b40f0-169e-a37e-61ce-a3abf2d80652,Carnivora,0.5145833333333333,0.3701171875,0.40576171875,Ursus americanus,,Animalia,adulto,Chordata,usuario,2023-04-24T21:17:27Z,alta,,2023-04-24T21:17:27Z,,hembra,Ursidae,,44
"",33499,1,a72ac9c9-8c80-4dea-bc19-f538f1a68719,,Ursus americanus,parado,Mammalia,Ursus americanus,Ursus americanus,especimen,sipecam,Ursus,0.6166666666666667,,,,149bd4d5-fe0e-6970-ee65-8792ee105edc,Carnivora,0.21805555555555556,0.923828125,0.076171875,Ursus americanus,,Animalia,cria,Chordata,usuario,2023-04-24T21:18:09Z,alta,,2023-04-24T21:18:09Z,,,Ursidae,,44
"",35881,1,8b412dc0-a3df-4ec9-9753-7c09b449fadd,,Crax rubra,moviendose,Aves,Crax rubra,Crax rubra,especimen,sipecam,Crax,0.3576388888888889,,,,0b96fd1c-5ac9-84e7-edd7-f795d0717a2e,Galliformes,0.26180555555555557,0.2626953125,0.2705078125,Crax rubra,,Animalia,adulto,Chordata,usuario,2023-04-24T21:20:43Z,alta,,2023-04-24T21:20:43Z,,macho,Cracidae,,44
"",35881,1,0129d289-b9f1-4372-b349-17165125d31a,,Crax rubra,moviendose,Aves,Crax rubra,Crax rubra,especimen,sipecam,Crax,0.3576388888888889,,,,7e8e3be0-5d47-6533-52c4-5dcf2d7424d1,Galliformes,0.28958333333333336,0.2861328125,0.2998046875,Crax rubra,,Animalia,adulto,Chordata,usuario,2023-04-24T21:21:19Z,alta,,2023-04-24T21:21:19Z,,macho,Cracidae,,44
"",34731,1,5f428a54-1fa6-4e41-b51e-4da682c51af7,,Dicotyles tajacu,parado,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5125,,,,9440a192-dd88-ea9f-7a35-9a015cb68dd4,Artiodactyla,0.23402777777777783,0.0,0.0810546875,Dicotyles tajacu,,Animalia,,Chordata,usuario,2023-04-25T00:18:17Z,alta,,2023-04-25T00:18:17Z,,,Tayassuidae,,44
"",34731,1,3be0efd2-014f-42f4-b792-e49f9f51ef20,,Dicotyles tajacu,moviendose,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5416666666666666,,,,21cbbbf0-1cf2-9940-f09e-601c83b9368f,Artiodactyla,0.2743055555555556,0.10595703125,0.31201171875,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-25T00:19:00Z,alta,,2023-04-25T00:19:00Z,,,Tayassuidae,,44
"",34731,1,5eb87332-6489-4d6f-8a4d-b4edf936600e,,Dicotyles tajacu,moviendose,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5326388888888889,,,,3ceee061-4db5-fa8b-3680-f842948d7b55,Artiodactyla,0.29027777777777775,0.0,0.306640625,Dicotyles tajacu,,Animalia,adulto,Chordata,usuario,2023-04-25T00:20:05Z,alta,,2023-04-25T00:20:05Z,,,Tayassuidae,,44
"",34731,1,fef55fdb-39ed-46cf-91b1-73474a5cc103,,Dicotyles tajacu,moviendose,Mammalia,Dicotyles tajacu,Dicotyles tajacu,especimen,sipecam,Dicotyles,0.5236111111111111,,,,e44b6560-475d-0ecd-f819-80bd0223e09c,Artiodactyla,0.1527777777777778,0.0,0.0712890625,Dicotyles tajacu,,Animalia,,Chordata,usuario,2023-04-25T00:20:35Z,alta,,2023-04-25T00:20:35Z,,,Tayassuidae,,44
"",36798,1,a06b422b-4108-4c20-b5d8-4de30d25dc74,,Mazama temama,alimentandose,Mammalia,Mazama temama,Mazama temama,especimen,sipecam,Mazama,0.5208333333333334,,,,b576720a-debf-178f-e698-2be183dfd189,Artiodactyla,0.26249999999999996,0.0,0.11572265625,Mazama temama,,Animalia,joven,Chordata,usuario,2023-04-25T00:22:04Z,alta,,2023-04-25T00:22:04Z,,,Cervidae,,44
"",36798,1,7a0400eb-d31b-4b78-807b-c981adeaac31,,Mazama temama,alimentandose,Mammalia,Mazama temama,Mazama temama,especimen,sipecam,Mazama,0.5361111111111111,,,,0d2250d2-2cf7-54ca-1aa3-2cb8bb566b14,Artiodactyla,0.2694444444444445,0.0,0.23681640625,Mazama temama,,Animalia,joven,Chordata,usuario,2023-04-25T00:22:37Z,alta,,2023-04-25T00:22:37Z,,,Cervidae,,44
