estado,integridad_nodo,ruta,ecosistema,municipio,nomenclatura_nodo,labeled,ecosistema_str,coord_longitud,cumulo,estado_str,fecha_foto,coord_latitud,ultima_modificacion,id,municipio_str
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/a1b882d87811ce1d490d1334c34b64aa_0013.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9802,13,Campeche,2021-08-05T17:30:48Z,18.0886,2023-04-01T03:24:38.498Z,99f57c93-2e95-4998-8ea6-a7572d5e1db9,Palizada
Campeche,Degradado,13/3_13_0_1399/HLPXGM09048507/2021-08-05/images_videos/1b16b2286f3b1f31a48c7784782ee3b4_0014.JPG,Selvas humedas,Palizada,3_13_0_1399,true,Selvas humedas,-91.9802,13,Campeche,2021-08-05T17:30:49Z,18.0886,2023-04-01T03:24:38.553Z,9bc8944c-da34-49d3-b631-c718db4c254b,Palizada
Morelos,Integro,32/4_32_1_1286/HLPXGM09049539/2022-08-05/images_videos/b5e7a25d20e33f58b4f38a6161535c07_0352.JPG,Selvas secas,Tlaquiltenango,4_32_1_1286,true,Selvas secas,-99.0321,32,Morelos,2022-08-15T10:22:16Z,18.4075,2023-04-01T03:29:04.576Z,9511f52d-11f9-4070-8d42-970511cc9872,Tlaquiltenango
Sonora,Degradado,95/1_95_0_1348/HLPXGM09048863/2021-08-04/images_videos/b5e5b7a002263f7741c6ec2b41b804fc_0994.JPG,Bosques templados,Municipio de Agua Prieta,1_95_0_1348,true,Bosques templados,-108.952,95,Sonora,2021-10-12T10:08:42Z,31.254,2023-04-01T03:29:11.838Z,381cfcb7-1c60-4722-b4c7-ee32728bca62,Municipio de Agua Prieta
Sonora,Integro,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/304365a8cbcac0aa9a02733472d1385b_0031.JPG,Bosques templados,Municipio de Agua Prieta,1_95_1_1350,true,Bosques templados,-108.935,95,Sonora,2021-08-04T15:20:37Z,31.1922,2023-04-01T03:29:14.138Z,d87149ab-0dd1-486f-91ea-d4160bef5965,Municipio de Agua Prieta
Sonora,Integro,95/1_95_1_1350/HLPXGM09049767/2021-08-04/images_videos/a1c57200f72b9d431d062efec1cc9d78_0032.JPG,Bosques templados,Municipio de Agua Prieta,1_95_1_1350,true,Bosques templados,-108.935,95,Sonora,2021-08-04T15:20:39Z,31.1922,2023-04-01T03:29:26.938Z,ee4bfe4c-dac6-44dd-a6c5-91f64400be96,Municipio de Agua Prieta
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/83b9fea9bd1c878a63987b9319c8d16a_0034.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:16:34Z,16.1478,2023-04-01T03:26:11.675Z,c971795d-a28f-46ab-aee1-0576361d8b8c,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/90cfc818a0efeab1bb2669f3af1d3b32_0035.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:16:35Z,16.1478,2023-04-01T03:26:11.840Z,5daf524a-ab54-4a07-b26f-bd66cd8dac8f,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/d597ce8ea182c69f6579a46001036047_0037.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:16:49Z,16.1478,2023-04-01T03:26:12.021Z,26842cee-9247-400e-a801-ee28c146c3f0,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/d82b338c88a264c50de8bc77b01d0179_0085.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-18T09:52:43Z,16.1478,2023-04-01T03:26:12.001Z,d4d6bc95-e735-47d6-9394-890450eb3240,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/76f4f49abcce66a72c2b945e522c7735_0032.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:16:16Z,16.1478,2023-04-01T03:26:11.705Z,9b9c8c16-3525-445e-b7c5-9e26d0a67a83,Marqués de Comillas
Sonora,Integro,95/1_95_1_1350/HLPXGM09048973/2021-08-05/images_videos/e9aebd6e0dd51d7844e90bc553a1affb_0065.JPG,Bosques templados,Municipio de Agua Prieta,1_95_1_1350,true,Bosques templados,-108.94,95,Sonora,2021-08-04T18:03:08Z,31.1979,2023-04-01T03:28:56.744Z,bbfa4e2b-b142-4d45-aa54-3303da3a3430,Municipio de Agua Prieta
Sonora,Integro,95/1_95_1_1350/HLPXGM09049766/2021-08-04/images_videos/fffd567168f3716a4ae75597852040bd_0044.JPG,Bosques templados,Municipio de Agua Prieta,1_95_1_1350,true,Bosques templados,-108.94,95,Sonora,2021-08-08T02:27:41Z,31.1856,2023-04-01T03:29:41.847Z,a72ac9c9-8c80-4dea-bc19-f538f1a68719,Municipio de Agua Prieta
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/43f0bfb6908c72b8371e519153784ef0_0038.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:16:51Z,16.1478,2023-04-01T03:26:11.835Z,5f428a54-1fa6-4e41-b51e-4da682c51af7,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/44725572e5fab62076baa1922b206c7d_0046.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:59:25Z,16.1478,2023-04-01T03:26:11.760Z,3be0efd2-014f-42f4-b792-e49f9f51ef20,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/dbcf6ecaceabf9839d63c1acdac23074_0052.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T11:50:10Z,16.1478,2023-04-01T03:26:12.031Z,a06b422b-4108-4c20-b5d8-4de30d25dc74,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/0206abc27aff20ab6417aba63fb315f6_0047.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T06:59:26Z,16.1478,2023-04-01T03:26:11.695Z,5eb87332-6489-4d6f-8a4d-b4edf936600e,Marqués de Comillas
Chiapas,Degradado,92/3_92_0_1339/HLPXGM09049201/2021-07-29/images_videos/4555039612d4f6b1bc15ec298c6d1d7f_0049.JPG,Selvas humedas,Marqués de Comillas,3_92_0_1339,true,Selvas humedas,-90.8071,92,Chiapas,2021-07-08T07:00:01Z,16.1478,2023-04-01T03:26:11.780Z,fef55fdb-39ed-46cf-91b1-73474a5cc103,Marqués de Comillas
Chiapas,Integro,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/67d05ab08373e05948bd2cfc6d03666f_0059.JPG,Selvas humedas,Ocosingo,3_92_1_1338,true,Selvas humedas,-90.9086,92,Chiapas,2021-08-11T07:34:45Z,16.1619,2023-04-01T03:25:25.979Z,8b412dc0-a3df-4ec9-9753-7c09b449fadd,Ocosingo
Chiapas,Integro,92/3_92_1_1338/HLPXGM09048270/2021-07-28/images_videos/26626af9883bf6f5a815d8bf794bcd7c_0058.JPG,Selvas humedas,Ocosingo,3_92_1_1338,true,Selvas humedas,-90.9086,92,Chiapas,2021-08-11T07:34:44Z,16.1619,2023-04-01T03:25:25.803Z,0129d289-b9f1-4372-b349-17165125d31a,Ocosingo
