estado,hay_evidencia,subcoleccion,vegetacion_tipo,distancia_centro,nombre_anp_str,lat_seg_sitmuest,perturbado,lon_seg_sitmuest,uso_suelo_tipo,empty,lat_min_cam,azimut,predio,condiciones_ambientales,lon_seg_cam,id,altitud_cam,comentario_cam,gps_error_sitmuest,fecha_inclusion,tenencia,lat_grado_cam,nombre_congl,municipio,labeled,fecha_visita,nombre_comun,estado_str,sensibilidad,lon_grado_cam,altitud_sitmuest,lat_seg_cam,lon_min_sitmuest,municipio_str,lat_min_sitmuest,resolucion,ruta,monitoreo_tipo,institucion,id_congl,lon_grado_sitmuest,elipsoide_cam,elipsoide_sitmuest,compania,gps_error_cam,fecha_foto,lon_min_cam,coord_latitud,nombre_camara,lat_grado_sitmuest,id_07,id_original,sitio_numero,nombre_cientifico,existe,comentario_congl,nombre_anp,coord_longitud,tipo_congl
Guanajuato,,especimen,,7.09,,54.2999999998815,,16.4000000003908,,,27,,Las Sardinas,,16.3999999999815,ESP-41,2236.0,Comentario trap_camera: Se obtuvieron registros domésticos de una vaca. Comentario equip_camera Se obtuvieron registros domésticos de una vaca.,3.0,2017-01-01T00:00:00Z,1 Ejidal,20,55049,Pénjamo,false,2014-06-25T00:00:00Z,Geococcyx californianus,Guanajuato,High,101,2233.0,54.0999999999985,50,Pénjamo,27,2MP,55049/2014_06/fotos_videos/55049_S3_FCT_20140626_4.JPG,SAC-MOD,CONAFOR,216,101,WGS84,WGS84,,4.0,2014-06-26T08:17:25Z,50,20.4650833333333,CONAFOR_6210MC109022728_10,20,,41,Sitio 3,Geococcyx californianus,T,"Se encontró evidencia del muestreo a 76m y un azimut de 330° de las coordenadas 20° 27' 53"" y 101° 51' 43.1"" proporcionadas por CONAFOR.",,-101.837888888889,7 Biodiversidad
Guanajuato,,especimen,,7.09,,54.2999999998815,,16.4000000003908,,,27,,Las Sardinas,,16.3999999999815,ESP-40,2236.0,Comentario trap_camera: Se obtuvieron registros domésticos de una vaca. Comentario equip_camera Se obtuvieron registros domésticos de una vaca.,3.0,2017-01-01T00:00:00Z,1 Ejidal,20,55049,Pénjamo,false,2014-06-25T00:00:00Z,Geococcyx californianus,Guanajuato,High,101,2233.0,54.0999999999985,50,Pénjamo,27,2MP,55049/2014_06/fotos_videos/55049_S3_FCT_20140626_3.JPG,SAC-MOD,CONAFOR,216,101,WGS84,WGS84,,4.0,2014-06-26T08:17:22Z,50,20.4650833333333,CONAFOR_6210MC109022728_10,20,,40,Sitio 3,Geococcyx californianus,T,"Se encontró evidencia del muestreo a 76m y un azimut de 330° de las coordenadas 20° 27' 53"" y 101° 51' 43.1"" proporcionadas por CONAFOR.",,-101.837888888889,7 Biodiversidad
Guanajuato,,especimen,,7.09,,54.2999999998815,,16.4000000003908,,,27,,Las Sardinas,,16.3999999999815,ESP-38,2236.0,Comentario trap_camera: Se obtuvieron registros domésticos de una vaca. Comentario equip_camera Se obtuvieron registros domésticos de una vaca.,3.0,2017-01-01T00:00:00Z,1 Ejidal,20,55049,Pénjamo,false,2014-06-25T00:00:00Z,Geococcyx californianus,Guanajuato,High,101,2233.0,54.0999999999985,50,Pénjamo,27,2MP,55049/2014_06/fotos_videos/55049_S3_FCT_20140625_4.JPG,SAC-MOD,CONAFOR,216,101,WGS84,WGS84,,4.0,2014-06-25T13:39:28Z,50,20.4650833333333,CONAFOR_6210MC109022728_10,20,,38,Sitio 3,Geococcyx californianus,T,"Se encontró evidencia del muestreo a 76m y un azimut de 330° de las coordenadas 20° 27' 53"" y 101° 51' 43.1"" proporcionadas por CONAFOR.",,-101.837888888889,7 Biodiversidad
Guanajuato,,especimen,,7.09,,54.2999999998815,,16.4000000003908,,,27,,Las Sardinas,,16.3999999999815,ESP-39,2236.0,Comentario trap_camera: Se obtuvieron registros domésticos de una vaca. Comentario equip_camera Se obtuvieron registros domésticos de una vaca.,3.0,2017-01-01T00:00:00Z,1 Ejidal,20,55049,Pénjamo,false,2014-06-25T00:00:00Z,Geococcyx californianus,Guanajuato,High,101,2233.0,54.0999999999985,50,Pénjamo,27,2MP,55049/2014_06/fotos_videos/55049_S3_FCT_20140625_5.JPG,SAC-MOD,CONAFOR,216,101,WGS84,WGS84,,4.0,2014-06-25T13:39:32Z,50,20.4650833333333,CONAFOR_6210MC109022728_10,20,,39,Sitio 3,Geococcyx californianus,T,"Se encontró evidencia del muestreo a 76m y un azimut de 330° de las coordenadas 20° 27' 53"" y 101° 51' 43.1"" proporcionadas por CONAFOR.",,-101.837888888889,7 Biodiversidad
Guanajuato,,especimen,,7.09,,54.2999999998815,,16.4000000003908,,,27,,Las Sardinas,,16.3999999999815,ESP-37,2236.0,Comentario trap_camera: Se obtuvieron registros domésticos de una vaca. Comentario equip_camera Se obtuvieron registros domésticos de una vaca.,3.0,2017-01-01T00:00:00Z,1 Ejidal,20,55049,Pénjamo,false,2014-06-25T00:00:00Z,Geococcyx californianus,Guanajuato,High,101,2233.0,54.0999999999985,50,Pénjamo,27,2MP,55049/2014_06/fotos_videos/55049_S3_FCT_20140625_3.JPG,SAC-MOD,CONAFOR,216,101,WGS84,WGS84,,4.0,2014-06-25T13:39:24Z,50,20.4650833333333,CONAFOR_6210MC109022728_10,20,,37,Sitio 3,Geococcyx californianus,T,"Se encontró evidencia del muestreo a 76m y un azimut de 330° de las coordenadas 20° 27' 53"" y 101° 51' 43.1"" proporcionadas por CONAFOR.",,-101.837888888889,7 Biodiversidad
Guanajuato,,especimen,,10.53,,11.4000000001226,,27.100000000811,,,0,,El Pedregal,,26.8999999999688,ESP-48,2642.0,"Comentario trap_camera:  Comentario equip_camera ",3.0,2017-01-01T00:00:00Z,3 Propiedad particular,20,57546,Jerecuaro,false,2014-07-23T00:00:00Z,Urocyon cinereoargenteus,Guanajuato,High,100,2655.0,11.1999999999966,21,Jerecuaro,0,2MP,57546/2014_07/fotos_videos/57546_S3_FCT_20140723_6.JPG,SAC-MOD,CONAFOR,231,100,WGS84,WGS84,,4.0,2014-07-23T20:20:19Z,21,20.0031666666667,CONAFOR4710_00,20,,48,Sitio 3,Urocyon cinereoargenteus,T,"El sitio 1 fue ubicado a 76m de distancia y azimut de 155° con respecto a las coordenadas proporcionadas por la CONAFOR N 20° 00' 10.0"" y W -100° 22' 33.1"".
Se realizaron dos periodos de grabación, el primero de ellos del 22 al 23 de Julio y el segundo del 23 al 24 de Julio.
En el primero periodo, al detener el programa, la grabadora nos marcó ""ERROR"" en la memoria de la ranura A e indicaba 1GB de información almacenada en la memoria de la ranura B.
Al insertar la memoria de la ranura A en la computadora para verificar que tenía la información, está nos indicó que teníamos que formatearla, por este motivo decidimos repetir el periodo de grabación con la memoria que habíamos insertado en la ranura B.
Al día siguiente al detener el programa, la grabadora nos indicaba que había generado 7 GB de información, retiramos el equipo y al insertar la memoria en la computadora, nuevamente nos pedía formatearla y si la volvíamos a colocar en la grabadora seguía indicando que contenía la información. Entregamos la memoria a un técnico que sólo pudo rescatar 241 archivos ultrasónicos, 21 archivos acústicos y el summary.
Estos archivos y los generados en el primer periodo de grabación se agregan al respaldo, además se anexa un vídeo grabado en el CGL 58555 donde se repitió tal situación.
Iris Betsabé Juan Baeza.
Sergio Arturo Tránsito Crescencio.
Laura Aguilar Pérez.
Juan García Díaz.",,-100.357527777778,7 Biodiversidad
Guanajuato,,especimen,,10.53,,11.4000000001226,,27.100000000811,,,0,,El Pedregal,,26.8999999999688,ESP-51,2642.0,"Comentario trap_camera:  Comentario equip_camera ",3.0,2017-01-01T00:00:00Z,3 Propiedad particular,20,57546,Jerecuaro,false,2014-07-23T00:00:00Z,Urocyon cinereoargenteus,Guanajuato,High,100,2655.0,11.1999999999966,21,Jerecuaro,0,2MP,57546/2014_07/fotos_videos/57546_S3_FCT_20140723_10.JPG,SAC-MOD,CONAFOR,231,100,WGS84,WGS84,,4.0,2014-07-23T20:20:19Z,21,20.0031666666667,CONAFOR4710_00,20,,51,Sitio 3,Urocyon cinereoargenteus,T,"El sitio 1 fue ubicado a 76m de distancia y azimut de 155° con respecto a las coordenadas proporcionadas por la CONAFOR N 20° 00' 10.0"" y W -100° 22' 33.1"".
Se realizaron dos periodos de grabación, el primero de ellos del 22 al 23 de Julio y el segundo del 23 al 24 de Julio.
En el primero periodo, al detener el programa, la grabadora nos marcó ""ERROR"" en la memoria de la ranura A e indicaba 1GB de información almacenada en la memoria de la ranura B.
Al insertar la memoria de la ranura A en la computadora para verificar que tenía la información, está nos indicó que teníamos que formatearla, por este motivo decidimos repetir el periodo de grabación con la memoria que habíamos insertado en la ranura B.
Al día siguiente al detener el programa, la grabadora nos indicaba que había generado 7 GB de información, retiramos el equipo y al insertar la memoria en la computadora, nuevamente nos pedía formatearla y si la volvíamos a colocar en la grabadora seguía indicando que contenía la información. Entregamos la memoria a un técnico que sólo pudo rescatar 241 archivos ultrasónicos, 21 archivos acústicos y el summary.
Estos archivos y los generados en el primer periodo de grabación se agregan al respaldo, además se anexa un vídeo grabado en el CGL 58555 donde se repitió tal situación.
Iris Betsabé Juan Baeza.
Sergio Arturo Tránsito Crescencio.
Laura Aguilar Pérez.
Juan García Díaz.",,-100.357527777778,7 Biodiversidad
Guanajuato,,especimen,,10.53,,11.4000000001226,,27.100000000811,,,0,,El Pedregal,,26.8999999999688,ESP-46,2642.0,"Comentario trap_camera:  Comentario equip_camera ",3.0,2017-01-01T00:00:00Z,3 Propiedad particular,20,57546,Jerecuaro,false,2014-07-23T00:00:00Z,Urocyon cinereoargenteus,Guanajuato,High,100,2655.0,11.1999999999966,21,Jerecuaro,0,2MP,57546/2014_07/fotos_videos/57546_S3_FCT_20140723_3.JPG,SAC-MOD,CONAFOR,231,100,WGS84,WGS84,,4.0,2014-07-23T20:50:21Z,21,20.0031666666667,CONAFOR4710_00,20,,46,Sitio 3,Urocyon cinereoargenteus,T,"El sitio 1 fue ubicado a 76m de distancia y azimut de 155° con respecto a las coordenadas proporcionadas por la CONAFOR N 20° 00' 10.0"" y W -100° 22' 33.1"".
Se realizaron dos periodos de grabación, el primero de ellos del 22 al 23 de Julio y el segundo del 23 al 24 de Julio.
En el primero periodo, al detener el programa, la grabadora nos marcó ""ERROR"" en la memoria de la ranura A e indicaba 1GB de información almacenada en la memoria de la ranura B.
Al insertar la memoria de la ranura A en la computadora para verificar que tenía la información, está nos indicó que teníamos que formatearla, por este motivo decidimos repetir el periodo de grabación con la memoria que habíamos insertado en la ranura B.
Al día siguiente al detener el programa, la grabadora nos indicaba que había generado 7 GB de información, retiramos el equipo y al insertar la memoria en la computadora, nuevamente nos pedía formatearla y si la volvíamos a colocar en la grabadora seguía indicando que contenía la información. Entregamos la memoria a un técnico que sólo pudo rescatar 241 archivos ultrasónicos, 21 archivos acústicos y el summary.
Estos archivos y los generados en el primer periodo de grabación se agregan al respaldo, además se anexa un vídeo grabado en el CGL 58555 donde se repitió tal situación.
Iris Betsabé Juan Baeza.
Sergio Arturo Tránsito Crescencio.
Laura Aguilar Pérez.
Juan García Díaz.",,-100.357527777778,7 Biodiversidad
Guanajuato,,especimen,,10.53,,11.4000000001226,,27.100000000811,,,0,,El Pedregal,,26.8999999999688,ESP-50,2642.0,"Comentario trap_camera:  Comentario equip_camera ",3.0,2017-01-01T00:00:00Z,3 Propiedad particular,20,57546,Jerecuaro,false,2014-07-23T00:00:00Z,Urocyon cinereoargenteus,Guanajuato,High,100,2655.0,11.1999999999966,21,Jerecuaro,0,2MP,57546/2014_07/fotos_videos/57546_S3_FCT_20140723_9.JPG,SAC-MOD,CONAFOR,231,100,WGS84,WGS84,,4.0,2014-07-23T20:50:18Z,21,20.0031666666667,CONAFOR4710_00,20,,50,Sitio 3,Urocyon cinereoargenteus,T,"El sitio 1 fue ubicado a 76m de distancia y azimut de 155° con respecto a las coordenadas proporcionadas por la CONAFOR N 20° 00' 10.0"" y W -100° 22' 33.1"".
Se realizaron dos periodos de grabación, el primero de ellos del 22 al 23 de Julio y el segundo del 23 al 24 de Julio.
En el primero periodo, al detener el programa, la grabadora nos marcó ""ERROR"" en la memoria de la ranura A e indicaba 1GB de información almacenada en la memoria de la ranura B.
Al insertar la memoria de la ranura A en la computadora para verificar que tenía la información, está nos indicó que teníamos que formatearla, por este motivo decidimos repetir el periodo de grabación con la memoria que habíamos insertado en la ranura B.
Al día siguiente al detener el programa, la grabadora nos indicaba que había generado 7 GB de información, retiramos el equipo y al insertar la memoria en la computadora, nuevamente nos pedía formatearla y si la volvíamos a colocar en la grabadora seguía indicando que contenía la información. Entregamos la memoria a un técnico que sólo pudo rescatar 241 archivos ultrasónicos, 21 archivos acústicos y el summary.
Estos archivos y los generados en el primer periodo de grabación se agregan al respaldo, además se anexa un vídeo grabado en el CGL 58555 donde se repitió tal situación.
Iris Betsabé Juan Baeza.
Sergio Arturo Tránsito Crescencio.
Laura Aguilar Pérez.
Juan García Díaz.",,-100.357527777778,7 Biodiversidad
Guanajuato,,especimen,,10.53,,11.4000000001226,,27.100000000811,,,0,,El Pedregal,,26.8999999999688,ESP-47,2642.0,"Comentario trap_camera:  Comentario equip_camera ",3.0,2017-01-01T00:00:00Z,3 Propiedad particular,20,57546,Jerecuaro,false,2014-07-23T00:00:00Z,Urocyon cinereoargenteus,Guanajuato,High,100,2655.0,11.1999999999966,21,Jerecuaro,0,2MP,57546/2014_07/fotos_videos/57546_S3_FCT_20140723_5.JPG,SAC-MOD,CONAFOR,231,100,WGS84,WGS84,,4.0,2014-07-23T20:50:18Z,21,20.0031666666667,CONAFOR4710_00,20,,47,Sitio 3,Urocyon cinereoargenteus,T,"El sitio 1 fue ubicado a 76m de distancia y azimut de 155° con respecto a las coordenadas proporcionadas por la CONAFOR N 20° 00' 10.0"" y W -100° 22' 33.1"".
Se realizaron dos periodos de grabación, el primero de ellos del 22 al 23 de Julio y el segundo del 23 al 24 de Julio.
En el primero periodo, al detener el programa, la grabadora nos marcó ""ERROR"" en la memoria de la ranura A e indicaba 1GB de información almacenada en la memoria de la ranura B.
Al insertar la memoria de la ranura A en la computadora para verificar que tenía la información, está nos indicó que teníamos que formatearla, por este motivo decidimos repetir el periodo de grabación con la memoria que habíamos insertado en la ranura B.
Al día siguiente al detener el programa, la grabadora nos indicaba que había generado 7 GB de información, retiramos el equipo y al insertar la memoria en la computadora, nuevamente nos pedía formatearla y si la volvíamos a colocar en la grabadora seguía indicando que contenía la información. Entregamos la memoria a un técnico que sólo pudo rescatar 241 archivos ultrasónicos, 21 archivos acústicos y el summary.
Estos archivos y los generados en el primer periodo de grabación se agregan al respaldo, además se anexa un vídeo grabado en el CGL 58555 donde se repitió tal situación.
Iris Betsabé Juan Baeza.
Sergio Arturo Tránsito Crescencio.
Laura Aguilar Pérez.
Juan García Díaz.",,-100.357527777778,7 Biodiversidad
